              	Springfield-Columbia	Sacramento-Albany	Charleston-Indianapolis	Salem-Nashville	Columbia-Lansing	Indianapolis-Austin	Salt Lake City-Madison	Atlanta-Tallahassee	Augusta-Columbus	Des Moines-Helena	Atlanta-Providence	Denver]-Charleston	Concord-Topeka	Phoenix-Richmond	Boston-Salt Lake City	Saint Paul-Raleigh	Boston-Montgomery	Lansing-Atlanta	Indianapolis-Pierre	Richmond-Sacramento	Des Moines-Harrisburg	Pierre-Saint Paul	Jackson-Trenton	Providence-Lansing	Topeka-Helena	Little Rock-Pierre	Jefferson City-Trenton	Jackson-Santa Fe	Boston-Columbus	Cheyenne-Bismarck	Augusta-Montgomery	Columbus-Augusta	Lincoln-Pierre	Helena-Olympia	Boise-Bismarck	Sacramento-Carson City	Lincoln-Bismarck	Oklahoma City-Lansing	Madison-Bismarck	Tallahassee-Raleigh	Augusta-Baton Rouge	Boise-Madison	Little Rock-Saint Paul	Frankfort-Carson City	Saint Paul-Tallahassee	Atlanta-Augusta	Columbus-Lincoln	Salt Lake City-Austin	Indianapolis-Columbia	Hartford-Pierre	Austin-Charleston	Jefferson City-Montgomery	Salem-Atlanta	Hartford-Bismarck	Boise-Lansing	Dover-Cheyenne	Jefferson City-Montpelier	Cheyenne-Boston	Frankfort-Atlanta	Saint Paul-Pierre	Columbus-Bismarck	Salt Lake City-Montgomery	Tallahassee-Little Rock	Topeka-Phoenix	Boston-Montpelier	Boise-Cheyenne	Richmond-Harrisburg	Phoenix-Madison	Frankfort-Oklahoma City	Madison-Albany	Nashville-Oklahoma City	Salem-Lansing	Springfield-Jackson	Columbus-Helena	Providence-Phoenix	Providence-Atlanta	Pierre-Baton Rouge	Frankfort-Madison	Baton Rouge-Indianapolis	Montgomery-Richmond	Atlanta-Concord	Albany-Denver]	Austin-Phoenix	Richmond-Raleigh	Atlanta-Denver]	Jackson-Madison	Austin-Hartford	Montpelier-Concord	Austin-Columbus	Cheyenne-Baton Rouge	Springfield-Providence	Saint Paul-Lincoln	Harrisburg-Annapolis	Indianapolis-Montpelier	Jefferson City-Indianapolis	Sacramento-Charleston	Richmond-Salem	Baton Rouge-Tallahassee	Montpelier-Saint Paul	Madison-Lansing	Atlanta-Lincoln	Lansing-Concord	Trenton-Columbia	Phoenix-Boston	Santa Fe-Bismarck	Providence-Columbia	Indianapolis-Providence	Columbia-Phoenix	Harrisburg-Springfield	Dover-Sacramento	Jefferson City-Carson City	Little Rock-Santa Fe	Annapolis-Phoenix	Phoenix-Indianapolis	Salt Lake City-Indianapolis	Richmond-Cheyenne	Indianapolis-Lansing	Trenton-Des Moines	Richmond-Atlanta	Topeka-Albany	Santa Fe-Albany	Cheyenne-Columbus	Springfield-Bismarck	Springfield-Boise	Springfield-Denver]	Raleigh-Madison	Little Rock-Helena	Indianapolis-Albany	Richmond-Saint Paul	Concord-Nashville	Olympia-Hartford	Salem-Dover	Santa Fe-Helena	Helena-Columbus	Atlanta-Austin	Jefferson City-Harrisburg	Raleigh-Annapolis	Pierre-Concord	Lansing-Richmond	Topeka-Salem	Dover-Boston	Harrisburg-Baton Rouge	Hartford-Jefferson City	Des Moines-Olympia	Augusta-Saint Paul	Hartford-Santa Fe	Des Moines-Bismarck	Charleston-Salem	Boise-Hartford	Frankfort-Phoenix	Bismarck-Montgomery	Indianapolis-Charleston	Bismarck-Madison	Jefferson City-Madison	Salem-Augusta	Salem-Pierre	Annapolis-Augusta	Sacramento-Bismarck	Atlanta-Montgomery	Tallahassee-Charleston	Oklahoma City-Boise	Dover-Saint Paul	Phoenix-Raleigh	Boston-Baton Rouge	Boise-Nashville	Albany-Annapolis	Providence-Montgomery	Sacramento-Augusta	Albany-Charleston	Carson City-Des Moines	Lincoln-Olympia	Saint Paul-Montpelier	Sacramento-Montpelier	Topeka-Columbus	Annapolis-Charleston	Montpelier-Baton Rouge	Baton Rouge-Boston	Trenton-Nashville	Oklahoma City-Trenton	Madison-Columbus	Tallahassee-Springfield	Montpelier-Montgomery	Salt Lake City-Lincoln	Albany-Indianapolis	Salt Lake City-Cheyenne	Dover-Salem	Frankfort-Des Moines	Frankfort-Columbia	Annapolis-Carson City	Montpelier-Atlanta	Olympia-Nashville	Raleigh-Jefferson City	Montpelier-Boston	Indianapolis-Boise	Concord-Madison	Indianapolis-Santa Fe	Madison-Raleigh	Jackson-Phoenix	Hartford-Richmond	Dover-Springfield	Oklahoma City-Santa Fe	Columbia-Tallahassee	Bismarck-Indianapolis	Lincoln-Indianapolis	Boise-Olympia	Bismarck-Boise	Lincoln-Oklahoma City	Raleigh-Montpelier	Columbus-Concord	Raleigh-Pierre	Montgomery-Oklahoma City	Jefferson City-Boise	Sacramento-Oklahoma City	Columbus-Little Rock	Sacramento-Hartford	Frankfort-Albany	Trenton-Raleigh	Concord-Tallahassee	Harrisburg-Topeka	Boise-Richmond	Oklahoma City-Albany	Lincoln-Austin	Carson City-Montpelier	Cheyenne-Nashville	Pierre-Bismarck	Annapolis-Olympia	Lincoln-Sacramento	Jefferson City-Hartford	Lansing-Topeka	Des Moines-Oklahoma City	Montpelier-Oklahoma City	Madison-Denver]	Atlanta-Pierre	Lincoln-Albany	Montgomery-Atlanta	Madison-Cheyenne	Helena-Montgomery	Bismarck-Des Moines	Concord-Boston	Montpelier-Topeka	Salt Lake City-Jackson	Baton Rouge-Sacramento	Baton Rouge-Atlanta	Frankfort-Santa Fe	Little Rock-Nashville	Montgomery-Austin	Montgomery-Nashville	Harrisburg-Sacramento	Hartford-Indianapolis	Austin-Montgomery	Augusta-Boise	Richmond-Boston	Oklahoma City-Baton Rouge	Harrisburg-Columbia	Jefferson City-Little Rock	Lincoln-Augusta	Providence-Helena	Boise-Harrisburg	Phoenix-Lansing	Montgomery-Salt Lake City	Trenton-Jefferson City	Madison-Atlanta	Boston-Bismarck	Augusta-Columbia	Atlanta-Salem
Cheyenne      	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	2749  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	7221  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	11168 	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	12144 	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	3245  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Madison       	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	6852  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	4024  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	1452  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	4929  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	1600  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	6763  	0     	0     	0     	3295  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	7629  	0     	0     	0     
Charleston    	0     	0     	2829  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	10376 	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Olympia       	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	12703 	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	4409  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Richmond      	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	10470 	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	575   	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	3958  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	14168 	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	10071 	0     	0     	4219  	0     	0     	0     	0     	0     	0     	0     	0     	0     	3563  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	6711  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Montpelier    	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	2493  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	2139  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	11499 	0     	0     	0     	0     	0     	2170  	0     	0     	0     	0     	0     	0     	0     	5483  	0     	0     	2041  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	12058 	0     	0     	0     	0     	0     	0     	0     	0     	5235  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Salt Lake City	0     	0     	0     	0     	0     	0     	9629  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	2397  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	5612  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	5005  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	5575  	0     	5869  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	5774  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Austin        	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	9132  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	8848  	0     	0     	0     	10823 	0     	8148  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	1709  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Nashville     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	3998  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
Pierre        	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	4955  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	8935  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	6727  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	5906  	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     	0     
